restaurant,food,price,taste,location,portion_size,dish_category
Papa’s Pizza,XL Vegetarian Supreme (No Pork),226.8,6.4,Accra,N/A,Papa's Youngster
Papa’s Pizza,Jumbo Meateater,334.8,9.1,Accra,N/A,Papa's Lovers
Papa’s Pizza,Jumbo Plantain Passion ( No Pork),276.0,7.4,Accra,N/A,Big Bosses
Papa’s Pizza,Jumbo Vegetarian Supreme (No Pork),238.8,6.5,Accra,N/A,Papa's Youngster
Papa’s Pizza,Small Opana,118.8,7.9,Accra,N/A,Papa's Lovers
Papa’s Pizza,Small Obaa Kokoo ( No Pork),96.0,6.0,Accra,N/A,Big Bosses
Papa’s Pizza,Medium Opana,130.8,8.5,Accra,N/A,Papa's Lovers
Papa’s Pizza,Medium Obaa Kokoo ( No Pork),132.0,6.6,Accra,N/A,Big Bosses
Papa’s Pizza,Large Opana,214.8,8.4,Accra,N/A,Papa's Lovers
Papa’s Pizza,Large Obaa Kokoo ( No Pork),168.0,6.3,Accra,N/A,Big Bosses
Papa’s Pizza,XL Obaa Kokoo ( No Pork),252.0,6.9,Accra,N/A,Big Bosses
Papa’s Pizza,XL Opana,298.8,8.7,Accra,N/A,Papa's Lovers
Papa’s Pizza,Jumbo Opana,334.8,9.0,Accra,N/A,Papa's Lovers
Papa’s Pizza,Jumbo Obaa Kokoo ( No Pork),288.0,7.0,Accra,N/A,Big Bosses
Papa’s Pizza,Small Papa's Special,94.8,6.1,Accra,N/A,Papa's Lovers
Papa’s Pizza,Medium Papa's Special,118.8,6.8,Accra,N/A,Papa's Lovers
Papa’s Pizza,Large Papa's Special,178.8,7.9,Accra,N/A,Papa's Lovers
Papa’s Pizza,XL Papa's Special,262.8,8.6,Accra,N/A,Papa's Lovers
Papa’s Pizza,Jumbo Papa's Special,298.8,9.1,Accra,N/A,Papa's Lovers
